Date,Description,Points,Amount,Card
2026-05-01 10:12,SWIGGY SUPERBITE,2,-340.50,Diners Black (*5678)
2026-05-01 14:45,AMAZON PAY INDIA,5,-1250.00,Infinia (*1234)
2026-05-02 09:00,UBER TRIP APY12,1,-180.00,Diners Black (*5678)
2026-05-02 20:30,ZOMATO RESTAURANT,1,-450.00,Diners Black (*5678)
2026-05-03 11:15,AIRTEL MOBILE RECHARGE,1,-799.00,Infinia (*1234)
2026-05-03 18:00,BLINKIT RETAIL,3,-890.00,Infinia (*1234)
2026-05-04 08:30,SHELL FUEL STATION,2,-1500.00,Diners Black (*5678)
2026-05-05 12:00,NETFLIX ENTERTAINMENT,1,-649.00,Infinia (*1234)
2026-05-05 15:30,INTEREST CREDIT,0,1250.00,Savings Account (*9012)
2026-05-06 10:00,DMART SUPERMARKET,4,-3200.00,Diners Black (*5678)
2026-05-06 19:45,DOMINOS PIZZA,1,-520.00,Diners Black (*5678)
2026-05-07 09:30,OLA CABS RIDE,1,-240.00,Infinia (*1234)
2026-05-07 22:00,CREDIT CARD PAYMENT,0,5000.00,Infinia (*1234)
2026-05-08 11:00,BIGBASKET GROCERY,3,-1150.00,Infinia (*1234)
2026-05-09 14:00,STARBUCKS CAFE,1,-350.00,Diners Black (*5678)
2026-05-09 16:30,SPOTIFY MUSIC,1,-119.00,Infinia (*1234)
2026-05-10 09:00,BESCOM ELECTRICITY,2,-1850.00,Infinia (*1234)
2026-05-10 13:00,HPCL FUEL,2,-2000.00,Diners Black (*5678)
2026-05-11 12:45,FLIPKART ONLINE,5,-4500.00,Diners Black (*5678)
2026-05-12 20:00,ZOMATO DELHI,2,-680.00,Infinia (*1234)
2026-05-13 09:00,UBER RIDE MUMBAI,1,-310.00,Diners Black (*5678)
2026-05-14 15:00,SALARY CREDIT,0,75000.00,Savings Account (*9012)
2026-05-15 18:30,MYNTRA FASHION,4,-2750.00,Diners Black (*5678)
2026-05-16 11:00,ZEPTO INSTANT,2,-480.00,Infinia (*1234)
2026-05-17 14:15,CAFE NILOUFER CHAI,1,-120.00,Diners Black (*5678)
2026-05-18 10:00,JIO RECHARGE,1,-299.00,Infinia (*1234)
2026-05-19 21:00,SWIGGY DINEOUT,3,-1890.00,Infinia (*1234)
2026-05-20 08:00,IRCTC TICKET,2,-1250.00,Diners Black (*5678)
